nr.employed,pdays,was_contacted_before_yes,poutcome_success,euribor3m,emp.var.rate,previous,poutcome_nonexistent,contact_telephone,month_mar,month_oct,cons.price.idx,month_sep,month_may,job_student,default_unknown,job_retired,month_dec,job_blue-collar,campaign,cons.conf.idx,marital_single,education_university.degree,education_basic.9y,marital_married,age,job_services,y
5076.2,999,0,0,1.262,-2.9,1,0,0,0,0,92.963,0,0,0,0,0,0,0,2,-40.8,1,0,0,0,24,0,0
5191.0,999,0,0,4.855,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,1,-36.4,0,0,0,1,32,0,1
5195.8,999,0,0,4.245,-0.1,0,1,1,0,0,93.2,0,0,0,0,0,0,0,1,-42.0,1,1,0,0,33,0,0
5228.1,999,0,0,4.957,1.4,0,1,1,0,0,93.918,0,0,0,0,0,0,0,4,-42.7,0,0,1,1,38,0,0
5228.1,999,0,0,4.961,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,4,-42.7,0,0,0,1,39,1,0
5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,1,4,-41.8,0,0,0,1,43,0,0
5195.8,999,0,0,4.191,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,1,1,-42.0,0,0,1,0,57,0,0
5191.0,999,0,0,4.859,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,2,-36.4,0,0,0,1,55,0,0
5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,4,-36.4,0,0,1,1,36,0,0
5076.2,999,0,0,0.873,-2.9,0,1,0,0,0,92.201,0,0,0,0,0,0,0,1,-31.4,1,0,0,0,57,0,1
5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,0,14,-41.8,0,1,0,1,42,0,0
5076.2,999,0,0,1.266,-2.9,0,1,0,0,0,92.963,0,0,0,1,0,0,0,1,-40.8,0,0,0,1,43,0,0
5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,3,-36.4,0,0,0,1,38,0,0
5191.0,999,0,0,4.86,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,1,-36.4,0,0,0,1,41,0,0
5228.1,999,0,0,4.961,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,0,1,-41.8,0,1,0,1,35,0,0
5099.1,999,0,0,1.299,-1.8,0,1,0,0,0,92.893,0,1,0,1,0,0,1,1,-46.2,0,0,0,1,38,0,0
4963.6,10,1,1,1.035,-1.1,1,0,0,0,0,94.767,0,0,0,0,0,0,0,2,-50.8,0,0,0,1,54,0,1
