duration,nr.employed,pdays,was_contacted_before_yes,poutcome_success,euribor3m,emp.var.rate,previous,poutcome_nonexistent,contact_telephone,month_mar,month_oct,cons.price.idx,month_sep,month_may,job_student,default_unknown,job_retired,month_dec,job_blue-collar,campaign,cons.conf.idx,marital_single,education_university.degree,education_basic.9y,marital_married,age,job_services,y
122,5076.2,999,0,0,1.262,-2.9,1,0,0,0,0,92.963,0,0,0,0,0,0,0,2,-40.8,1,0,0,0,24,0,0
1119,5191.0,999,0,0,4.855,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,1,-36.4,0,0,0,1,32,0,1
168,5195.8,999,0,0,4.245,-0.1,0,1,1,0,0,93.2,0,0,0,0,0,0,0,1,-42.0,1,1,0,0,33,0,0
129,5228.1,999,0,0,4.957,1.4,0,1,1,0,0,93.918,0,0,0,0,0,0,0,4,-42.7,0,0,1,1,38,0,0
197,5228.1,999,0,0,4.961,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,4,-42.7,0,0,0,1,39,1,0
28,5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,1,4,-41.8,0,0,0,1,43,0,0
221,5195.8,999,0,0,4.191,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,1,1,-42.0,0,0,1,0,57,0,0
77,5191.0,999,0,0,4.859,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,2,-36.4,0,0,0,1,55,0,0
98,5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,4,-36.4,0,0,1,1,36,0,0
479,5076.2,999,0,0,0.873,-2.9,0,1,0,0,0,92.201,0,0,0,0,0,0,0,1,-31.4,1,0,0,0,57,0,1
604,5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,0,14,-41.8,0,1,0,1,42,0,0
153,5076.2,999,0,0,1.266,-2.9,0,1,0,0,0,92.963,0,0,0,1,0,0,0,1,-40.8,0,0,0,1,43,0,0
177,5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,3,-36.4,0,0,0,1,38,0,0
52,5191.0,999,0,0,4.86,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,1,-36.4,0,0,0,1,41,0,0
114,5228.1,999,0,0,4.961,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,0,1,-41.8,0,1,0,1,35,0,0
306,5099.1,999,0,0,1.299,-1.8,0,1,0,0,0,92.893,0,1,0,1,0,0,1,1,-46.2,0,0,0,1,38,0,0
1868,4963.6,10,1,1,1.035,-1.1,1,0,0,0,0,94.767,0,0,0,0,0,0,0,2,-50.8,0,0,0,1,54,0,1
1334,5191.0,999,0,0,4.856,1.1,0,1,1,0,0,93.994,0,1,0,1,0,0,1,1,-36.4,0,0,0,1,47,0,1
57,5099.1,999,0,0,1.405,-1.8,0,1,0,0,0,93.075,0,0,0,0,0,0,0,2,-47.1,0,0,0,1,41,0,0
39,5228.1,999,0,0,4.957,1.4,0,1,1,0,0,93.918,0,0,0,1,0,0,0,7,-42.7,1,0,0,0,43,0,0
222,5228.1,999,0,0,4.866,1.4,0,1,1,0,0,94.465,0,0,0,1,1,0,0,1,-41.8,0,0,0,1,59,0,0
161,5228.1,999,0,0,4.962,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,2,-36.1,0,1,0,1,42,0,0
463,5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,1,0,0,0,2,-36.4,0,0,0,1,47,0,0
140,5099.1,999,0,0,1.244,-1.8,0,1,0,0,0,92.893,0,1,0,0,0,0,0,1,-46.2,0,1,0,0,39,0,0
2035,4991.6,999,0,0,0.896,-1.7,0,1,0,0,0,94.027,0,0,0,0,1,0,0,4,-38.3,1,0,0,0,44,0,1
340,4991.6,3,1,1,0.896,-1.7,1,0,0,0,0,94.215,0,0,0,0,1,0,0,1,-40.3,0,0,0,0,68,0,1
121,5228.1,999,0,0,4.964,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,2,-36.1,0,0,0,1,31,0,0
24,5228.1,999,0,0,4.968,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,13,-42.7,1,0,0,0,49,0,0
114,5228.1,999,0,0,4.966,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,2,-36.1,1,1,0,0,32,0,0
376,5099.1,999,0,0,1.466,-1.8,1,0,0,0,0,93.075,0,0,0,0,0,0,0,2,-47.1,0,0,0,1,55,0,0
57,5228.1,999,0,0,4.965,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,4,-36.1,0,1,0,1,39,0,0
111,5195.8,999,0,0,4.153,-0.1,1,0,0,0,0,93.2,0,0,0,0,0,0,1,1,-42.0,0,0,1,1,33,0,0
90,5195.8,999,0,0,4.191,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,0,1,-42.0,0,0,0,0,31,1,0
312,5195.8,999,0,0,4.021,-0.1,0,1,0,0,0,93.2,0,0,0,1,0,0,1,1,-42.0,0,0,1,1,51,0,0
210,5076.2,999,0,0,1.029,-2.9,0,1,0,0,0,92.469,0,0,0,0,0,0,0,5,-33.6,1,1,0,0,32,0,1
154,5191.0,999,0,0,4.856,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,1,-36.4,0,0,0,1,41,0,0
168,5191.0,999,0,0,4.858,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,4,-36.4,0,0,0,1,57,0,0
261,5228.1,999,0,0,4.96,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,1,5,-42.7,0,0,0,1,35,0,0
452,5191.0,999,0,0,4.859,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,1,1,-36.4,0,0,1,1,33,0,0
64,5195.8,999,0,0,4.191,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,1,1,-42.0,0,0,0,1,38,0,0
295,5228.1,999,0,0,4.963,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,1,-42.7,1,0,0,0,42,0,0
73,5195.8,999,0,0,4.076,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,1,3,-42.0,0,0,1,0,43,0,0
254,5099.1,999,0,0,1.483,-1.8,1,0,0,0,0,93.075,0,0,0,0,0,0,1,2,-47.1,1,0,0,0,28,0,0
100,5099.1,999,0,0,1.41,-1.8,0,1,1,0,0,93.075,0,0,0,0,0,0,0,1,-47.1,1,1,0,0,24,0,0
271,5228.1,999,0,0,4.965,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,1,-36.1,0,0,0,1,39,0,0
120,5228.1,999,0,0,4.96,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,1,-42.7,0,0,0,1,41,0,0
62,5099.1,999,0,0,1.327,-1.8,1,0,0,0,0,92.893,0,1,0,0,0,0,0,6,-46.2,0,1,0,1,32,0,0
97,5099.1,999,0,0,1.334,-1.8,0,1,1,0,0,92.893,0,1,0,1,0,0,1,2,-46.2,0,0,1,1,37,0,0
133,5191.0,999,0,0,4.86,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,1,-36.4,0,0,0,1,37,0,0
298,5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,1,2,-41.8,1,0,1,0,27,0,0
6,5228.1,999,0,0,4.968,1.4,0,1,1,0,0,93.918,0,0,0,0,0,0,0,2,-42.7,1,0,0,0,49,0,0
124,5099.1,999,0,0,1.405,-1.8,0,1,0,0,0,93.075,0,0,0,0,0,0,0,2,-47.1,1,0,0,0,33,0,0
1288,5099.1,999,0,0,1.405,-1.8,0,1,0,0,0,93.075,0,0,0,0,1,0,0,3,-47.1,1,0,0,0,58,0,1
214,5228.1,999,0,0,4.963,1.4,0,1,0,0,0,93.918,0,0,0,1,0,0,1,1,-42.7,0,0,0,1,40,0,0
113,5017.5,999,0,0,0.803,-3.4,0,1,0,0,0,92.379,1,0,0,0,0,0,0,1,-29.8,0,0,0,1,76,0,0
466,5076.2,999,0,0,1.262,-2.9,0,1,0,0,0,92.963,0,0,0,1,0,0,0,1,-40.8,0,0,0,1,67,0,1
489,5228.1,999,0,0,4.96,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,3,-42.7,0,0,1,0,26,0,0
55,5191.0,999,0,0,4.86,1.1,0,1,1,0,0,93.994,0,1,0,0,0,0,0,1,-36.4,0,1,0,1,41,0,0
427,5191.0,999,0,0,4.857,1.1,0,1,1,0,0,93.994,0,1,0,1,0,0,1,1,-36.4,0,0,0,1,39,0,0
122,5195.8,999,0,0,4.153,-0.1,1,0,0,0,0,93.2,0,0,0,0,0,0,0,1,-42.0,0,1,0,1,48,0,0
411,4991.6,999,0,0,0.899,-1.7,0,1,0,0,0,94.027,0,0,0,0,0,0,0,1,-38.3,0,0,0,1,70,0,1
164,5228.1,999,0,0,4.864,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,1,2,-41.8,0,0,1,1,33,0,0
70,5228.1,999,0,0,4.963,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,1,-42.7,0,0,1,0,49,0,0
319,5099.1,999,0,0,1.344,-1.8,1,0,0,0,0,92.893,0,1,0,0,0,0,1,2,-46.2,0,0,0,1,34,0,0
66,5195.8,999,0,0,4.153,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,0,1,-42.0,0,1,0,1,50,0,0
1152,5076.2,6,1,1,0.873,-2.9,1,0,0,0,0,92.201,0,0,0,0,0,0,0,2,-31.4,0,1,0,1,34,0,0
268,5195.8,999,0,0,4.191,-0.1,0,1,0,0,0,93.2,0,0,0,0,0,0,0,2,-42.0,0,0,0,1,41,0,0
378,5228.1,999,0,0,4.962,1.4,0,1,1,0,0,94.465,0,0,0,0,0,0,1,2,-41.8,0,0,1,1,41,0,0
467,5195.8,999,0,0,4.153,-0.1,0,1,0,0,0,93.2,0,0,0,1,0,0,0,1,-42.0,0,0,1,1,39,0,0
18,5228.1,999,0,0,4.958,1.4,0,1,0,0,0,93.918,0,0,0,1,0,0,1,11,-42.7,0,0,1,1,30,0,0
239,5228.1,999,0,0,4.957,1.4,0,1,0,0,0,93.918,0,0,0,0,0,0,0,1,-42.7,0,0,0,0,47,0,0
178,5195.8,999,0,0,4.076,-0.1,0,1,0,0,0,93.2,0,0,0,0,1,0,0,1,-42.0,0,0,1,0,55,0,0
255,5099.1,999,0,0,1.291,-1.8,1,0,0,0,0,92.893,0,1,0,0,0,0,0,2,-46.2,1,1,0,0,35,0,0
333,5228.1,999,0,0,4.962,1.4,0,1,0,0,0,93.918,0,0,0,1,0,0,0,2,-42.7,0,1,0,1,49,0,0
42,5228.1,999,0,0,4.962,1.4,0,1,0,0,0,93.918,0,0,0,1,0,0,1,3,-42.7,0,0,0,1,57,0,0
294,5008.7,999,0,0,0.646,-1.8,1,0,1,1,0,93.369,0,0,0,0,0,0,0,1,-34.8,0,1,0,1,52,0,0
341,5228.1,999,0,0,4.967,1.4,0,1,0,0,0,93.444,0,0,0,0,0,0,0,1,-36.1,1,0,0,0,37,0,0
158,5228.1,999,0,0,4.962,1.4,0,1,0,0,0,93.444,0,0,0,1,0,0,0,8,-36.1,0,0,0,1,53,0,0
230,4963.6,999,0,0,1.05,-1.1,1,0,0,0,0,94.767,0,0,0,0,0,0,0,1,-50.8,0,1,0,1,34,0,0
